,title,price,izmer,location,seller,seller_link,date,link
60,"Азофоска, нитроаммофоска",17000.00,за Тонну,"Кировская область,  Киров", Ксения,https://agroru.com/pages/326060/,12.12.2020,https://agroru.com/doska/azofoska-nitroammofoska-6026.htm
61,Карбамид ГОСТ,20000.00,за Тонну,"Кировская область,  Киров", Ксения,https://agroru.com/pages/326060/,12.12.2020,https://agroru.com/doska/karbamid-gost-2081-2010-49386.htm
62,Аммиачная селитра ГОСТ 2-2013,14800.00,за Тонну,"Кировская область,  Киров", Ксения,https://agroru.com/pages/326060/,12.12.2020,https://agroru.com/doska/ammiachnaya-selitra-gost-2-2013-38955.htm
63,Минеральные удобрения,5000.00,за Тонну,"Кировская область,  Киров", Ксения,https://agroru.com/pages/326060/,12.12.2020,https://agroru.com/doska/mineralnye-udobreniya-39262.htm
64,Изопропиловый спирт (ИПС) абсолютированный,None,None,"Алтайский край,  Барнаул", Анастасия,https://agroru.com/pages/307498/,11.12.2020,https://agroru.com/doska/izopropilovyj-spirt-ips-absoljutirovannyj-16013.htm
65,Коровий навоз в мешках 50 литров,150.00,за Штуку,"Ленинградская область,  Всеволожск", Михаил Викторович Орлов,https://agroru.com/pages/306454/,10.12.2020,https://agroru.com/doska/korovij-navoz-v-meshkah-50-litrov-42449.htm
66,Конский навоз в мешках 50 литров,100.00,за Штуку,"Ленинградская область,  Всеволожск", Михаил Викторович Орлов,https://agroru.com/pages/306454/,10.12.2020,https://agroru.com/doska/konskij-navoz-v-meshkah-50-litrov-36450.htm
67,Садовый грунт с доставкой,300.00,за Метр кв.,"Ленинградская область,  Всеволожск", Михаил Викторович Орлов,https://agroru.com/pages/306454/,10.12.2020,https://agroru.com/doska/sadovyj-grunt-s-dostavkoj-32869.htm
68,Торф в мешках 50 литров,150.00,за Штуку,"Ленинградская область,  Всеволжск", Михаил Викторович Орлов,https://agroru.com/pages/306454/,10.12.2020,https://agroru.com/doska/torf-v-meshkah-50-litrov-15306.htm
69,"Удобрения,Перегной,Навоз",300.00,за Метр кв.,"Ленинградская область,  Всеволожск", Михаил Викторович Орлов,https://agroru.com/pages/306454/,10.12.2020,https://agroru.com/doska/scheben-granitnyj-s-dostavkoj-84652.htm
70,Опилки в мешках 50 литров,100.00,за Штуку,"Ленинградская область,  Всеволожск", Михаил Викторович Орлов,https://agroru.com/pages/306454/,10.12.2020,https://agroru.com/doska/opilki-v-meshkah-50-litrov-41433.htm
71,Земля в мешках 50 литров,100.00,за Штуку,"Ленинградская область,  Всеволожск", Михаил Викторович Орлов,https://agroru.com/pages/306454/,10.12.2020,https://agroru.com/doska/zemlya-v-meshkah-50-litrov-9890.htm
72,Сульфат натрия природный,18.00,за Килограмм,"Краснодарский край,  Краснодар", Дмитрий Вячечлавович Егоров,https://agroru.com/pages/226795/,10.12.2020,https://agroru.com/doska/sulfat-natriya-prirodnyj-4648.htm
73,Биогумус,7.00,за Литр,"Беларусь,  Витебск", Анастасия,https://agroru.com/pages/330802/,10.12.2020,https://agroru.com/doska/biogumus-47762.htm
74,Диаммофос 10:26:26,26000.00,за Тонну,"Воронежская область,  Воронеж","ХИМАГРО КАПИТАЛ, ООО",https://agroru.com/pages/321730/,10.12.2020,https://agroru.com/doska/diammofos-10-26-26-68173.htm
75,Карбамид Б,20000.00,за Тонну,"Воронежская область,  Воронеж","ХИМАГРО КАПИТАЛ, ООО",https://agroru.com/pages/321730/,10.12.2020,https://agroru.com/doska/karbamid-b-47615.htm
76,Азофос NPK 16:16:16,19900.00,за Тонну,"Воронежская область,  Воронеж","ХИМАГРО КАПИТАЛ, ООО",https://agroru.com/pages/321730/,10.12.2020,https://agroru.com/doska/azofos-15-15-15-97061.htm
77,Селитра аммиачная,17000.00,за Тонну,"Воронежская область,  Воронеж","ХИМАГРО КАПИТАЛ, ООО",https://agroru.com/pages/321730/,10.12.2020,https://agroru.com/doska/selitra-ammiachnaya-24564.htm
78,Гранулированный куриный помет,None,None,"Москва,  Москва", Владимир Геннадьевич Демьянов,https://agroru.com/pages/82294/,12.12.2020,https://agroru.com/doska/granulirovannyj-kurinyj-pomet-92063.htm
79,Fertilizers,None,None," Смоленская область,  СТ Египет", Samira,https://agroru.com/pages/333026/,10.12.2020,https://agroru.com/doska/fertilizers-65504.htm
